2	58
63	88
38	67
21	94
83	86
29	48
21	99
13	18
7	50
28	43
32	71
1	3
94	99
11	92
37	56
14	22
29	65
51	58
61	62
34	59
17	59
33	77
31	55
19	70
52	85
3	62
2	51
67	75
23	100
48	75
28	69
14	89
35	78
56	82
43	64
21	75
31	42
46	76
26	32
76	98
75	99
52	87
38	75
79	86
14	32
41	85
23	64
48	65
22	89
75	94
5	90
43	69
53	93
79	83
46	98
29	75
48	99
4	72
10	42
18	60
75	81
70	74
10	98
41	52
4	79
66	97
35	43
22	32
4	83
73	84
65	95
85	87
17	34
14	26
31	64
60	77
1	62
40	91
27	81
10	23
28	31
53	81
10	100
13	67
26	71
92	97
67	94
67	81
42	100
64	100
16	36
24	94
33	60
50	89
31	43
29	81
55	68
17	51
18	76
42	55
4	6
38	94
21	48
39	89
70	87
35	64
9	79
12	40
74	85
37	82
45	96
24	45
38	99
28	64
8	56
14	71
16	89
13	38
8	52
67	99
21	67
23	39
13	60
74	93
12	84
17	53
21	24
27	29
27	65
38	48
17	93
4	86
48	67
6	47
24	76
10	64
21	38
7	54
48	81
72	79
38	81
43	78
42	64
8	100
31	69
71	77
26	60
3	61
19	87
40	70
13	76
29	99
13	24
39	78
19	40
27	34
68	96
48	94
22	71
80	90
41	87
28	55
35	39
9	36
37	52
51	93
34	53
74	87
5	80
31	100
14	50
42	85
4	36
13	94
56	100
16	50
29	67
14	39
12	73
29	95
48	95
36	79
12	19
29	38
31	68
16	39
28	35
64	98
42	98
18	67
22	26
53	59
36	72
52	56
27	53
21	29
55	69
49	57
64	78
24	75
93	96
23	42
70	93
10	31
18	24
64	69
47	54
65	75
39	64
1	61
60	71
25	84
40	53
50	54
41	74
35	69
30	78
30	35
15	82
39	50
8	37
54	72
7	26
7	89
70	85
25	62
24	46
65	81
26	50
17	96
66	90
22	50
32	89
20	47
13	75
26	89
51	96
70	91
32	60
27	48
32	77
18	38
25	61
2	44
37	85
40	93
24	67
43	55
23	43
53	96
24	99
34	81
42	68
11	97
10	76
8	87
19	74
18	26
47	57
23	31
34	93
37	41
51	59
96	98
23	98
47	49
30	69
28	78
31	98
36	54
23	35
59	81
20	54
55	64
29	94
13	21
17	58
29	59
60	76
7	14
3	72
82	100
49	80
52	74
36	50
29	34
30	43
8	72
8	85
2	93
59	93
44	58
17	45
45	76
9	15
33	71
43	100
8	82
27	59
52	100
