31	38
14	55
1	84
59	88
1	28
36	50
28	72
44	89
49	78
87	89
39	96
28	84
60	62
29	82
49	91
20	78
41	81
25	72
83	100
3	53
79	100
18	92
19	70
4	52
11	82
52	65
57	98
24	44
44	87
33	80
62	65
30	98
7	14
68	93
13	43
11	29
60	65
26	70
4	65
96	97
54	74
9	91
45	66
70	72
1	72
8	54
19	80
8	60
40	73
19	26
32	75
42	54
31	83
49	58
37	50
61	67
40	77
24	87
40	59
78	91
32	97
18	57
46	82
7	55
5	61
21	34
42	74
20	49
18	33
53	76
16	68
39	97
37	66
44	52
10	63
72	84
36	37
18	98
25	28
69	70
30	57
26	32
79	83
8	65
29	55
37	78
36	51
38	83
35	90
5	82
43	76
26	75
23	44
18	22
24	89
5	29
25	40
50	66
25	70
13	76
28	70
22	92
33	92
2	27
4	60
81	90
56	80
19	72
30	86
59	73
37	58
11	17
22	99
8	62
31	39
20	36
58	91
40	88
37	49
10	39
52	89
92	98
36	78
24	54
66	100
23	24
5	95
24	32
25	77
57	86
61	87
47	76
40	72
9	49
27	54
19	33
26	80
5	11
17	94
48	99
5	87
82	89
50	51
14	29
18	30
18	48
21	63
4	62
8	27
3	76
11	55
6	43
31	96
26	28
2	63
58	78
70	80
22	48
8	42
19	25
16	56
86	98
1	26
38	39
45	84
19	28
20	91
12	94
15	93
23	85
24	97
24	27
30	92
23	74
26	72
57	69
31	97
23	54
35	81
52	62
11	14
25	59
74	75
1	70
6	83
1	45
73	88
1	25
10	38
29	46
11	61
73	77
11	46
12	17
8	34
72	77
52	60
16	99
11	85
25	88
66	83
39	76
19	69
9	78
21	27
28	40
6	79
11	89
27	34
6	100
2	21
20	37
4	44
54	65
46	89
27	42
75	97
43	53
27	63
2	10
23	89
10	31
42	75
75	84
57	92
5	89
1	19
41	68
31	100
5	55
82	87
4	23
50	100
28	75
24	52
69	80
48	57
61	89
1	75
36	66
59	77
53	96
28	77
33	69
1	66
7	11
38	96
50	78
26	84
44	65
26	69
52	87
67	68
9	56
55	82
44	54
38	97
23	52
25	84
61	85
5	14
4	8
70	75
69	85
33	56
54	60
47	71
38	63
69	98
8	52
77	88
39	53
33	98
43	83
70	84
71	95
53	83
9	90
36	49
34	42
32	96
10	13
20	50
33	70
24	75
52	54
83	96
85	89
38	100
7	67
61	82
4	54
12	85
46	64
17	29
53	79
33	57
17	85
44	85
37	100
